ZIP code,Adjusted gross income (AGI),year
12819,5087,2011
12821,6159,2011
12822,117983,2011
12823,6973,2011
12824,28238,2011
12827,82991,2011
12828,196531,2011
12831,542115,2011
12832,109411,2011
12833,136700,2011
12834,161205,2011
12835,55988,2011
12836,15831,2011
12837,14083,2011
12838,14127,2011
12839,245017,2011
12842,24093,2011
12843,11297,2011
12844,12021,2011
12845,226935,2011
12846,67079,2011
12847,18097,2011
12849,14312,2011
12850,82408,2011
12851,6062,2011
12852,10138,2011
12853,25632,2011
12855,4721,2011
12857,10703,2011
12859,50134,2011
12860,12436,2011
12861,15712,2011
12863,18827,2011
12865,75045,2011
12866,2707968,2011
12870,33099,2011
12871,93134,2011
12873,18589,2011
12878,11178,2011
12883,95399,2011
12885,83882,2011
12886,4840,2011
12887,86164,2011
12901,680410,2011
12903,41321,2011
12910,30739,2011
12912,40017,2011
12913,22781,2011
12914,13943,2011
12916,34699,2011
12917,24067,2011
12918,55181,2011
12919,71978,2011
12920,45683,2011
12921,63389,2011
12923,8673,2011
12926,32893,2011
12928,39686,2011
12930,10050,2011
12932,30470,2011
12934,15253,2011
12935,29402,2011
12936,15352,2011
12937,23369,2011
12941,28000,2011
12942,20207,2011
12943,11222,2011
12944,75064,2011
12945,14945,2011
12946,172846,2011
12950,13815,2011
12952,11635,2011
12953,209491,2011
12955,6926,2011
12956,18838,2011
12957,24972,2011
12958,37616,2011
12959,25892,2011
12960,20753,2011
12961,5211,2011
12962,141941,2011
12965,8793,2011
12966,44902,2011
12967,17573,2011
12969,7422,2011
12970,7000,2011
12972,164099,2011
12974,26130,2011
12978,8070,2011
12979,56177,2011
12980,21022,2011
12981,52968,2011
12983,169888,2011
12985,19812,2011
12986,123210,2011
12987,6158,2011
12989,20525,2011
12992,97374,2011
12993,37436,2011
12996,40265,2011
12997,25516,2011
12998,7450,2011
13021,885064,2011
13026,33888,2011
13027,1018426,2011
13028,26678,2011
13029,220179,2011
13030,100450,2011
13031,496059,2011
13032,268051,2011
13033,78130,2011
13034,41337,2011
